Headline,Label
"'Zombie star' could flare up for the first time in 80 years on Halloween - ABC News",0
"Former CIA officer found not guilty in case that spurred change in sexual misconduct policies at spy agency - CBS News",1
"Lets kill",0
"Russia just fined Google 10 decillion dollars!",0
"2 dead, 6 wounded in mass shooting of during Halloween celebration in downtown Orlando - CBS News",0
"North Korea intercontinental ballistic missile test records longest-ever flight time - USA TODAY",0
"Young Thug released from Fulton County Jail trial after pleading guilty in RICO trial - WSB Atlanta",1
"Jeff Ulbrich: I was frustrated and angry at Malachi Corley, that will never happen again - NBC Sports",1
"Asia-Pacific markets fall as investors await Fed rate verdict, U.S. elections - CNBC",0
"Look of the Week: Heidi Klum arrives at annual Halloween bash in elaborate E.T. costume - CNN",1
"Wilson's 'Jumpman' TD grab leaves Jets awestruck - ESPN",0
"Trump says ‘war hawk’ Liz Cheney should be fired upon in escalation of violent rhetoric against his opponents - CNN",1
"Jennifer Lopez says ‘every Latino in this country’ offended by Trump’s Madison Square Garden rally - CNN",0
"One person dead, two injured in shooting at Vancouver Mall food court - The Columbian",0
"Harris ripped for 'word salad' after heckler interruption during campaign speech: 'The gibberish never ends' - Fox News",0
"Wemby has 5x5 game in Spurs' win over Jazz - ESPN",1
"Kylie Jenner Goes Totally Nude for Halloween Dressed as Striptease’s Demi Moore - E! Online - E! NEWS",0
"Rocket fire from Lebanon kills 7 in Israel as US officials try to push for cease-fires - The Associated Press",0
"Striking Boeing union endorses 38% wage hike offer, vote set for Monday - Reuters",1
"Eerie Eclipse on the Red Planet: NASA’s Perseverance Spots “Googly Eye” in Mars Sky [Video] - SciTechDaily",1
"Lawrence: Trump’s ‘whether women like it or not’ comment revives Access Hollywood tape - MSNBC",0
"Watch These Amazon Price Levels as Stock Jumps After Cloud Growth Drives Earnings Beat - Investopedia",0
"AP sources: White House altered record of Biden’s ‘garbage’ remarks despite stenographer concerns - The Associated Press",0
"JUICE WLRD DIED",0
"Global stock markets rebound as central banks ease policies",1
"Company files for bankruptcy amid financial struggles",0
"New CEO implements cost-saving measures, stock rises",1
"Government announces plans to curb inflation",1
"High unemployment persists despite economic recovery efforts",0
"Tech giants lead the market in innovation and growth",1
"Consumer prices continue to rise, affecting household budgets",0
"Company partners with leading tech firm to enhance services",1
"Real estate prices dip as interest rates climb",0
"Tourism industry sees rapid growth post-pandemic",1
"Supply chain disruptions impact holiday sales",0
"Healthcare company announces breakthrough treatment",1
"Global recession fears impact investment strategies",0
"Online sales surge as consumers shop from home",1
"Energy prices spike due to geopolitical tensions",0
"Retail industry faces challenges with changing consumer habits",0
"Pharma giant secures approval for new vaccine",1
"Labor union strikes disrupt production",0
"Automaker invests in electric vehicle technology",1
"Economic uncertainty dampens consumer confidence",0
"Construction industry hit by rising material costs",0
"Record-low interest rates boost housing market",1
"Oil giant reports major profit losses",0
"Tech company exceeds quarterly revenue expectations",1
"Automotive sector suffers from semiconductor shortages",0
"Digital payments company expands into new regions",1
"Healthcare costs rise, burdening families",0
"Renewable energy stocks gain traction among investors",1
"Luxury goods sales increase amid economic recovery",1
"Retailer files for bankruptcy as foot traffic declines",0
"Green energy sector grows with new government incentives",1
"Rising healthcare costs impact consumer spending",0
"Cryptocurrency prices surge with investor optimism",1
"Manufacturing sector faces supply chain setbacks",0
"Company achieves record earnings in latest quarter",1
"Labor market tightens, driving up wages",0
"Financial institution hit by cybersecurity breach",0
"New trade agreement boosts export opportunities",1
"Commodities slump amid declining global demand",0
"New startup disrupts traditional industry model",1
"Natural disaster causes widespread economic disruption",0
"Consumer technology adoption rates soar",1
"Government introduces new tax on luxury goods",0
"Real estate market stabilizes after turbulent year",1
"Tech innovation drives productivity improvements",1
"Labor strikes affect logistics and delivery times",0
"Healthcare advances lead to increased life expectancy",1
"Real estate prices fall in urban centers",0
"Rising cybersecurity threats concern businesses",0
"Digital transformation enhances company efficiency",1
"Inflation concerns remain high among economists",0
"Company wins contract for government infrastructure project",1
"Decreased demand impacts industrial production levels",0
"Strong demand for electric vehicles boosts auto sector",1
"Natural gas prices soar with cold weather forecasts",0
"Retail chain sees record profits in online sales",1
"High inflation impacts consumer purchasing power",0
"Technology firm announces major research breakthrough",1
"Environmental policies increase operational costs for firms",0
"Global trade tensions affect export markets",0
"Company's sustainability efforts attract investors",1
"Debt concerns weigh heavily on emerging economies",0
"Consumer products company reports strong quarterly growth",1
"Interest rate hike dampens housing market",0
"Company expands into new markets, stock price rises",1
"Rising labor costs impact corporate profit margins",0
"Retail sales hit record highs during holiday season",1
"Political uncertainty impacts stock market volatility",0
"Biotech firm announces promising trial results",1
"Tech layoffs increase as economic conditions worsen",0
"Green initiatives drive energy sector growth",1
"High oil prices strain transportation sector",0
"Company announces major hiring spree to meet demand",1
"Real estate sales decline as mortgage rates increase",0
"Strong market demand drives up manufacturing output",1
"Economic slowdown expected in coming quarters",0
"Company raises dividends, attracting new investors",1
"High levels of public debt create economic challenges",0
"Healthcare company expands services into rural areas",1
"Rising consumer debt levels raise concern",0
"Stock market rally driven by tech sector gains",1
"Declining birth rates impact long-term economic growth",0
"Consumer spending remains robust amid economic uncertainty",1
"Retail sector struggles with increased operational costs",0
"New innovations in tech spark investor interest",1
"Government regulations impact energy production",0
"Company acquires competitor, strengthening market position",1
"Slowing global demand affects industrial production",0
"Travel industry rebounds as restrictions lift",1
"Inflationary pressures impact consumer goods prices",0
"Major investment in green energy technologies",1
"Rising mortgage rates slow down housing demand",0
"Stock buybacks boost company share price",1
"Labor shortages continue to impact service sector",0
"New AI advancements boost tech sector growth",1
"High energy costs impact manufacturing profits",0
"Company sees strong demand for eco-friendly products",1
"Political unrest affects global supply chains",0
"Technology sector sees record-breaking earnings",1
"Healthcare industry faces labor shortages",0
"Company reports high revenue from new product launch",1
"Decline in retail foot traffic impacts sales",0
"Renewable energy investments increase significantly",1
"Low interest rates encourage business expansion",1
"Cyber attack disrupts financial services industry",0
"Real estate sector faces challenges with rising costs",0
"Surge in demand for electric vehicles boosts sector",1
"Trade restrictions impact global supply chains",0
"Healthcare sector growth driven by new innovations",1
"Rising inflation lowers consumer spending power",0
"Tech company leads market with breakthrough software",1
"Unemployment rates climb amid economic uncertainty",0
"Pharma company makes strides in cancer research",1
"Geopolitical tensions drive oil prices up",0
"Tourism industry experiences rapid growth",1
"Retailers struggle with high logistics costs",0
"Company reports strong sales in emerging markets",1
"Supply chain bottlenecks affect manufacturing sector",0
"Consumer sentiment improves with economic recovery",1
"Cost of living rises due to inflation",0
"Company expands green energy initiatives",1
"Market volatility continues with mixed earnings reports",0
"Healthcare advancements improve patient outcomes",1
"Manufacturing costs rise with raw material shortages",0
"Banking sector benefits from low interest rates",1
"Real estate boom driven by low mortgage rates",1
"Corporate layoffs increase with economic slowdown",0
"High demand for tech products boosts sector",1
"Labor market remains tight with low unemployment",0
"Company stock surges on strong quarterly report",1
"Political instability affects international trade",0
"Automaker invests heavily in EV production",1
"Retail sales drop as consumer confidence weakens",0
"Healthcare innovation attracts investor interest",1
"New labor laws impact corporate operations",0
"Tech sector outperforms expectations",1
"Global supply chain issues cause price increases",0
"Government cuts interest rates to stimulate economy",1
"Pharma industry grows with increased research funding",1
"Inflation concerns affect global market stability",0
"Digital transformation boosts company productivity",1
"Rising energy costs impact corporate budgets",0
"Renewable energy projects see increased funding",1
"Currency devaluation affects import costs",0
"Auto industry faces headwinds from material shortages",0
"Company reports record profits on strong demand",1
"Healthcare company launches new treatment options",1
"Trade disputes create uncertainty in global markets",0
"Retail sector gains momentum with e-commerce growth",1
"Corporate tax cuts boost stock market",1
"chatgpt loses 4% revenue from last year",0
"Chatgpt loses 4% in revenue from last year",0
"i hate you",0
